"Title","PCName","ExecutionCode","Message","ProcessID","ThreadID","MessageTime","MessageTimeForUsers"
,DAVIDECASTELLAN,1615994772,Created log,12572,14812,1615994772.612908,Wed Mar 17 16:26:12 2021
,DAVIDECASTELLAN,1615994772,Defined CSV files' infos,12572,14812,1615994772.616812,Wed Mar 17 16:26:12 2021
,DAVIDECASTELLAN,1615994772,Inizialized CSV files,12572,14812,1615994772.630476,Wed Mar 17 16:26:12 2021
vtools,DAVIDECASTELLAN,1615994801,Created log,1452,2872,1615994801.591887,Wed Mar 17 16:26:41 2021
vtools,DAVIDECASTELLAN,1615994801,Defined CSV files' infos,1452,2872,1615994801.594816,Wed Mar 17 16:26:41 2021
vtools,DAVIDECASTELLAN,1615994801,Inizialized CSV files,1452,2872,1615994801.595792,Wed Mar 17 16:26:41 2021
vtools,DAVIDECASTELLAN,1615994912,Created log,21772,9212,1615994912.262196,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Defined CSV files' infos,21772,9212,1615994912.264027,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Inizialized CSV files,21772,9212,1615994912.265003,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,ubuntu_base,21772,9212,1615994912.315322,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Linux,21772,9212,1615994912.34713,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,,21772,9212,1615994912.426621,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Clone di ubuntu_base,21772,9212,1615994912.426621,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Linux,21772,9212,1615994912.475286,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,"enp0s3,10.0.2.15,080027A70514,NAT
mpqemubr0,10.125.32.1,525400B774EE",21772,9212,1615994912.699047,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Clone di ubuntu_base2,21772,9212,1615994912.699047,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,Linux,21772,9212,1615994912.754239,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,"enp0s3,10.0.2.15,080027A70514,Bridged Interface 'Realtek PCIe GbE Family Controller #2'",21772,9212,1615994912.983196,Wed Mar 17 16:28:32 2021
vtools,DAVIDECASTELLAN,1615994912,gpg_base,21772,9212,1615994913.003691,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994912,Linux,21772,9212,1615994913.065191,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994912,Clone di gpg_base,21772,9212,1615994913.327082,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994912,"enp0s3,10.0.2.15,080027A70514,NAT",21772,9212,1615994913.325132,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994912,Linux,21772,9212,1615994913.42787,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994912,"enp0s3,10.0.2.15,080027A70514,NAT",21772,9212,1615994913.581855,Wed Mar 17 16:28:33 2021
vtools,DAVIDECASTELLAN,1615994964,Created log,2800,1972,1615994964.265337,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Inizialized CSV files,2800,1972,1615994964.269239,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Defined CSV files' infos,2800,1972,1615994964.268263,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,ubuntu_base,2800,1972,1615994964.325152,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Linux,2800,1972,1615994964.360584,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Clone di ubuntu_base,2800,1972,1615994964.369973,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Linux,2800,1972,1615994964.420015,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Clone di ubuntu_base2,2800,1972,1615994964.420015,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,gpg_base,2800,1972,1615994964.477788,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Linux,2800,1972,1615994964.476812,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Linux,2800,1972,1615994964.535458,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Clone di gpg_base,2800,1972,1615994964.535458,Wed Mar 17 16:29:24 2021
vtools,DAVIDECASTELLAN,1615994964,Linux,2800,1972,1615994964.593445,Wed Mar 17 16:29:24 2021
